Year,Week,weather station,Max cases with onset in last 2 weeks,Average cases with onset in last 2 weeks,Min cases with onset in last 2 weeks,Max Daily Rainfall Total (mm),Min Daily Rainfall Total (mm),Average Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Max PSI East,Avg PSI East
2016,31,Changi,38.0,35.0,32.0,22.2,0.0,4.857142857142857,21.6,22.2,22.2,28.514285714285716,32.7,22.1,8.285714285714286,65.2,58.0,50.891025641025635
2016,32,Changi,25.0,24.5,24.0,3.6,0.0,1.0285714285714287,3.6,3.6,3.6,29.228571428571428,32.9,25.2,7.457142857142857,39.2,63.0,55.98039215686275
2016,33,Changi,39.0,37.0,35.0,30.6,0.0,6.285714285714287,23.2,29.8,30.6,29.157142857142862,32.7,22.7,11.157142857142858,46.1,57.0,43.269230769230774
2016,34,Changi,39.0,37.5,36.0,18.2,0.0,4.542857142857144,17.4,18.2,18.2,28.985714285714288,33.8,24.4,6.957142857142856,38.2,91.0,56.31210191082803
2016,35,Changi,39.0,35.5,32.0,11.6,0.0,3.942857142857144,10.2,10.2,10.2,28.285714285714285,33.0,24.5,6.728571428571428,42.1,76.0,54.05625
2016,36,Changi,38.0,32.5,27.0,12.6,0.0,4.0285714285714285,9.4,12.2,12.6,28.1,32.2,22.9,7.5,51.1,79.0,55.303225806451614
2016,37,Changi,31.0,27.0,23.0,34.0,0.0,8.542857142857143,12.6,15.8,17.0,27.95714285714286,32.9,22.6,6.7,54.0,63.0,50.3860759493671
2016,38,Changi,25.0,20.5,16.0,15.8,0.0,2.6142857142857143,9.8,14.0,15.4,28.428571428571423,33.6,23.9,7.133333333333333,39.6,63.0,52.236111111111114
2016,39,Changi,13.0,12.5,12.0,7.2,0.0,1.0285714285714287,6.2,6.8,7.0,28.814285714285717,34.4,24.3,6.414285714285714,42.8,71.0,58.59574468085106
2016,40,Changi,21.0,14.5,8.0,75.4,0.0,14.000000000000002,53.4,73.8,75.4,27.92857142857143,32.9,21.6,5.814285714285715,51.1,70.0,55.2
2016,41,Changi,20.0,16.5,13.0,5.0,0.0,0.9714285714285714,3.4,3.6,4.0,29.52857142857143,34.6,24.4,8.171428571428573,44.3,53.0,43.72670807453416
2016,42,Changi,12.0,12.0,12.0,22.4,0.0,4.057142857142857,17.2,19.6,20.4,28.7,32.9,22.7,7.042857142857144,50.8,57.0,48.515923566878975
2016,43,Changi,8.0,7.0,6.0,15.0,0.0,6.828571428571429,12.8,12.8,13.0,26.942857142857147,32.4,23.3,5.385714285714287,40.0,65.0,55.4625
2016,44,Changi,8.0,6.0,4.0,35.0,0.0,8.514285714285714,17.8,23.0,25.0,27.757142857142863,33.0,23.6,6.1,45.7,56.0,46.75155279503105
2016,45,Changi,8.0,7.5,7.0,64.4,0.0,13.0,24.4,45.2,50.8,27.42857142857143,32.6,23.3,5.742857142857143,37.8,58.0,52.19496855345912
2016,46,Changi,7.0,6.0,5.0,65.6,0.0,18.4,34.0,52.8,58.2,27.114285714285717,31.7,22.7,5.614285714285715,39.6,60.0,52.566037735849065
2016,47,Changi,9.0,6.5,4.0,4.6,0.0,1.4285714285714286,1.8,2.2,3.6,27.657142857142855,32.2,25.0,6.314285714285715,35.6,60.0,48.60248447204968
2016,48,Changi,5.0,3.5,2.0,18.6,0.0,5.7142857142857135,16.6,18.6,18.6,27.3,32.9,24.3,6.5285714285714285,27.4,59.0,41.78846153846154
2016,49,Changi,6.0,5.5,5.0,33.4,0.0,12.685714285714285,31.8,32.8,33.4,27.67142857142857,33.1,23.0,6.871428571428572,47.2,56.0,48.335664335664326
